# Temperature  Order_1  Order_2
1.707352647470691265e+00 -1.032610481756096876e-01 -9.323919944137240567e-02
1.788649529057435128e+00 -9.908730807953658459e-02 -9.020134873924801067e-02
1.873817422860384996e+00 -9.504114020695221543e-02 -8.717480246358012830e-02
1.963040650040271506e+00 -9.112376562644722289e-02 -8.417023773602330672e-02
2.056512308348651619e+00 -8.733563767994473315e-02 -8.119729198939035220e-02
2.154434690031884259e+00 -8.367653302495420276e-02 -7.826454354774803335e-02
2.257019719633920118e+00 -8.014563748551596645e-02 -7.537951934040422464e-02
2.364489412645408350e+00 -7.674162611491339159e-02 -7.254872390937730509e-02
2.477076355991711498e+00 -7.346273713220556612e-02 -6.977768449395836681e-02
2.595024211399737268e+00 -7.030683960357128615e-02 -6.707100765615733873e-02
2.718588242732941307e+00 -6.727149490365448570e-02 -6.443244359825707479e-02
2.848035868435801810e+00 -6.435401211727757864e-02 -6.186495498381953950e-02
2.983647240283340274e+00 -6.155149763378685995e-02 -5.937078768368347220e-02
3.125715849688236680e+00 -5.886089925038649057e-02 -5.695154141558298605e-02
3.274549162877729902e+00 -5.627904514214771003e-02 -5.460823872411674218e-02
3.430469286314919319e+00 -5.380267807945128544e-02 -5.234139115619053373e-02
3.593813663804627634e+00 -5.142848528236190070e-02 -5.015106182868558221e-02
3.764935806792469197e+00 -4.915312429920840748e-02 -4.803692386512973395e-02
3.944206059437656009e+00 -4.697324528626630608e-02 -4.599831440302428603e-02
4.132012400115338657e+00 -4.488551004923484189e-02 -4.403428405016095171e-02
4.328761281083059131e+00 -4.288660818705029160e-02 -4.214364180373584429e-02
4.534878508128584507e+00 -4.097327065597970719e-02 -4.032499554691020005e-02
4.750810162102798273e+00 -3.914228104806169450e-02 -3.857678830979915929e-02
4.977023564332111683e+00 -3.739048485370355390e-02 -3.689733053104490845e-02
5.214008287999686964e+00 -3.571479695426942741e-02 -3.528482858689751395e-02
5.462277217684342823e+00 -3.411220756729103909e-02 -3.373740987107552713e-02
5.722367659350219959e+00 -3.257978684483052445e-02 -3.225314471400685112e-02
5.994842503189412142e+00 -3.111468830474663910e-02 -3.083006542713100789e-02
6.280291441834256361e+00 -2.971415125528322973e-02 -2.946618274906126142e-02
6.579332246575682497e+00 -2.837550235557428913e-02 -2.815949995737049294e-02
6.892612104349698399e+00 -2.709615643834353479e-02 -2.690802489402257733e-02
7.220809018385467404e+00 -2.587361670624008236e-02 -2.570978013514807481e-02
7.564633275546290392e+00 -2.470547439983340754e-02 -2.456281151779692029e-02
7.924828983539177862e+00 -2.358940802321651820e-02 -2.346519521814521836e-02
8.302175681319747369e+00 -2.252318220234492824e-02 -2.241504355785601393e-02
8.697490026177835176e+00 -2.150464624158244381e-02 -2.141050969819719568e-02
9.111627561154895361e+00 -2.053173243533324213e-02 -2.044979136536108702e-02
9.545484566618341660e+00 -1.960245418402217082e-02 -1.953113373530766111e-02
1.000000000000000000e+01 -1.871490395695210238e-02 -1.865283159245620034e-02
