# Temperature  Order_1  Order_2  Order_3
2.983647240283340274e+00 1.978556007768486266e-02 1.770245869036897110e-02 1.591694790967580417e-02
3.125715849688236680e+00 1.812734705530121351e-02 1.637843477949580198e-02 1.474175147105477417e-02
3.274549162877729902e+00 1.660013535599321258e-02 1.513323311518770600e-02 1.364070356601575912e-02
3.430469286314919319e+00 1.519491869030115475e-02 1.396565151819728970e-02 1.261069951033650695e-02
3.593813663804627634e+00 1.390307644638203582e-02 1.287378878577540714e-02 1.164858935975043690e-02
3.764935806792469197e+00 1.271640225135385778e-02 1.185520382274263436e-02 1.075119311855198510e-02
3.944206059437656009e+00 1.162712106038754981e-02 1.090705273779584220e-02 9.915319070406327165e-03
4.132012400115338657e+00 1.062789691910100143e-02 1.002620543638839401e-02 9.137783479319882413e-03
4.328761281083059131e+00 9.711833248889665399e-03 9.209343516794487455e-03 8.415430315046497356e-03
4.534878508128584507e+00 8.872467234846696110e-03 8.453041399822277396e-03 7.745150020378295530e-03
4.750810162102798273e+00 8.103759653299383650e-03 7.753832637137499442e-03 7.123896647531515608e-03
4.977023564332111683e+00 7.400081260703736570e-03 7.108263281817674313e-03 6.548702944920413611e-03
5.214008287999686964e+00 6.756196676708164234e-03 6.512934093698571208e-03 6.016693176625622155e-03
5.462277217684342823e+00 6.167246529997032732e-03 5.964533211177742121e-03 5.525093610170974529e-03
5.722367659350219959e+00 5.628728494066212798e-03 5.459860765150039222e-03 5.071240720502023791e-03
5.994842503189412142e+00 5.136477719195299205e-03 4.995846750305574582e-03 4.652587236214847724e-03
6.280291441834256361e+00 4.686647064354806588e-03 4.569563311503989714e-03 4.266706204774544861e-03
6.579332246575682497e+00 4.275687446464783784e-03 4.178232453250449799e-03 3.911293282645836138e-03
6.892612104349698399e+00 3.900328552260719141e-03 3.819230041441386194e-03 3.584167469128006489e-03
7.220809018385467404e+00 3.557560098134095010e-03 3.490086840142766871e-03 3.283270503569758834e-03
7.564633275546290392e+00 3.244613773978255976e-03 3.188487212826724392e-03 3.006665138085459245e-03
7.924828983539177862e+00 2.958945966744590348e-03 2.912266017149121259e-03 2.752532484707480558e-03
8.302175681319747369e+00 2.698221326733193665e-03 2.659404134462754494e-03 2.519168619275779977e-03
8.697490026177835176e+00 2.460297213406977598e-03 2.428022999000357864e-03 2.304980605936597215e-03
9.111627561154895361e+00 2.243209036686507913e-03 2.216378426043077738e-03 2.108482087106239387e-03
9.545484566618341660e+00 2.045156493353211813e-03 2.022853982354317487e-03 1.928288565024171772e-03
1.000000000000000000e+01 1.864490685589022517e-03 1.845954094645473661e-03 1.763112483146826422e-03
